"Titulo"|"Valor"|"Id"|"Fecha"|"Propiedad"|"Subconcepto"|"Concepto"|"General"
"CO CO Cliente corporativos                     "|1|3|"2025-05-24"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"DIR DIR Ventas Directas                        "|6|3|"2025-05-24"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"DIR WHT Venta Directa en Whatsapp              "|1|3|"2025-05-24"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"OTA OTA Reservas con Otas, Bookign Expedia Desp"|7|3|"2025-05-24"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"WEB WEB Ventas Directas con la pagina WEB      "|1|3|"2025-05-24"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"Bloqueadas Por Mantenimiento                   "|11|8|"2025-05-24"|"Sites BAQ"|"Habitaciones bloqueadas"|"Habitaciones bloqueadas"|"Habitaciones totales"
"Bloqueadas Por Administración                  "|2|9|"2025-05-24"|"Sites BAQ"|"Habitaciones bloqueadas"|"Habitaciones bloqueadas"|"Habitaciones totales"
"Desocupadas                                    "|37|11|"2025-05-24"|"Sites BAQ"|"Desocupadas                                    "|"Habitaciones habilitadas"|"Habitaciones totales"
"AGY MAY Venta con Agencias Mayoristas          "|1|3|"2025-05-25"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"CO CO Cliente corporativos                     "|1|3|"2025-05-25"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"DIR DIR Ventas Directas                        "|1|3|"2025-05-25"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"DIR WHT Venta Directa en Whatsapp              "|2|3|"2025-05-25"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"OTA OTA Reservas con Otas, Bookign Expedia Desp"|6|3|"2025-05-25"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"WEB WEB Ventas Directas con la pagina WEB      "|1|3|"2025-05-25"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"Bloqueadas Por Mantenimiento                   "|11|8|"2025-05-25"|"Sites BAQ"|"Habitaciones bloqueadas"|"Habitaciones bloqueadas"|"Habitaciones totales"
"Bloqueadas Por Administración                  "|3|9|"2025-05-25"|"Sites BAQ"|"Habitaciones bloqueadas"|"Habitaciones bloqueadas"|"Habitaciones totales"
"Desocupadas                                    "|40|11|"2025-05-25"|"Sites BAQ"|"Desocupadas                                    "|"Habitaciones habilitadas"|"Habitaciones totales"
"AGY MAY Venta con Agencias Mayoristas          "|1|3|"2025-05-26"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"CO CO Cliente corporativos                     "|6|3|"2025-05-26"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"DIR DIR Ventas Directas                        "|3|3|"2025-05-26"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"DIR REC Venta Directa en Recepcion             "|1|3|"2025-05-26"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"DIR WHT Venta Directa en Whatsapp              "|1|3|"2025-05-26"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"OTA OTA Reservas con Otas, Bookign Expedia Desp"|6|3|"2025-05-26"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"WEB WEB Ventas Directas con la pagina WEB      "|3|3|"2025-05-26"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"Bloqueadas Por Mantenimiento                   "|13|8|"2025-05-26"|"Sites BAQ"|"Habitaciones bloqueadas"|"Habitaciones bloqueadas"|"Habitaciones totales"
"Desocupadas                                    "|32|11|"2025-05-26"|"Sites BAQ"|"Desocupadas                                    "|"Habitaciones habilitadas"|"Habitaciones totales"
"AGY MAY Venta con Agencias Mayoristas          "|1|3|"2025-05-27"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"CO CO Cliente corporativos                     "|8|3|"2025-05-27"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"DIR DIR Ventas Directas                        "|2|3|"2025-05-27"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"DIR WHT Venta Directa en Whatsapp              "|1|3|"2025-05-27"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"OTA OTA Reservas con Otas, Bookign Expedia Desp"|10|3|"2025-05-27"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"WEB WEB Ventas Directas con la pagina WEB      "|3|3|"2025-05-27"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"Bloqueadas Por Mantenimiento                   "|12|8|"2025-05-27"|"Sites BAQ"|"Habitaciones bloqueadas"|"Habitaciones bloqueadas"|"Habitaciones totales"
"Desocupadas                                    "|29|11|"2025-05-27"|"Sites BAQ"|"Desocupadas                                    "|"Habitaciones habilitadas"|"Habitaciones totales"
"AGY MAY Venta con Agencias Mayoristas          "|1|3|"2025-05-28"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"CO CO Cliente corporativos                     "|9|3|"2025-05-28"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"DIR DIR Ventas Directas                        "|2|3|"2025-05-28"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"DIR WHT Venta Directa en Whatsapp              "|2|3|"2025-05-28"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"OTA OTA Reservas con Otas, Bookign Expedia Desp"|9|3|"2025-05-28"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"WEB WEB Ventas Directas con la pagina WEB      "|1|3|"2025-05-28"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"Bloqueadas Por Mantenimiento                   "|12|8|"2025-05-28"|"Sites BAQ"|"Habitaciones bloqueadas"|"Habitaciones bloqueadas"|"Habitaciones totales"
"Bloqueadas Por Administración                  "|1|9|"2025-05-28"|"Sites BAQ"|"Habitaciones bloqueadas"|"Habitaciones bloqueadas"|"Habitaciones totales"
"Desocupadas                                    "|29|11|"2025-05-28"|"Sites BAQ"|"Desocupadas                                    "|"Habitaciones habilitadas"|"Habitaciones totales"
"AGY MAY Venta con Agencias Mayoristas          "|1|3|"2025-05-29"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"CO CO Cliente corporativos                     "|7|3|"2025-05-29"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"DIR DIR Ventas Directas                        "|2|3|"2025-05-29"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"DIR WHT Venta Directa en Whatsapp              "|3|3|"2025-05-29"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"OTA OTA Reservas con Otas, Bookign Expedia Desp"|7|3|"2025-05-29"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"WEB WEB Ventas Directas con la pagina WEB      "|1|3|"2025-05-29"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"Complimentary                                  "|2|7|"2025-05-29"|"Sites BAQ"|"Complimentary                                  "|"Habitaciones habilitadas"|"Habitaciones totales"
"Bloqueadas Por Mantenimiento                   "|10|8|"2025-05-29"|"Sites BAQ"|"Habitaciones bloqueadas"|"Habitaciones bloqueadas"|"Habitaciones totales"
"Desocupadas                                    "|33|11|"2025-05-29"|"Sites BAQ"|"Desocupadas                                    "|"Habitaciones habilitadas"|"Habitaciones totales"
"AGY MAY Venta con Agencias Mayoristas          "|1|3|"2025-05-30"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"CO CO Cliente corporativos                     "|13|3|"2025-05-30"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"DIR DIR Ventas Directas                        "|3|3|"2025-05-30"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"DIR REC Venta Directa en Recepcion             "|1|3|"2025-05-30"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"DIR WHT Venta Directa en Whatsapp              "|3|3|"2025-05-30"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"OTA OTA Reservas con Otas, Bookign Expedia Desp"|10|3|"2025-05-30"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"WEB WEB Ventas Directas con la pagina WEB      "|1|3|"2025-05-30"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"Complimentary                                  "|2|7|"2025-05-30"|"Sites BAQ"|"Complimentary                                  "|"Habitaciones habilitadas"|"Habitaciones totales"
"Bloqueadas Por Mantenimiento                   "|10|8|"2025-05-30"|"Sites BAQ"|"Habitaciones bloqueadas"|"Habitaciones bloqueadas"|"Habitaciones totales"
"Desocupadas                                    "|22|11|"2025-05-30"|"Sites BAQ"|"Desocupadas                                    "|"Habitaciones habilitadas"|"Habitaciones totales"
"AGY MAY Venta con Agencias Mayoristas          "|1|3|"2025-05-31"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"CO CO Cliente corporativos                     "|2|3|"2025-05-31"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"COM COM Complementary                          "|1|3|"2025-05-31"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"DIR DIR Ventas Directas                        "|1|3|"2025-05-31"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"DIR REC Venta Directa en Recepcion             "|1|3|"2025-05-31"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"DIR WHT Venta Directa en Whatsapp              "|4|3|"2025-05-31"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"OTA OTA Reservas con Otas, Bookign Expedia Desp"|13|3|"2025-05-31"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"WEB WEB Ventas Directas con la pagina WEB      "|4|3|"2025-05-31"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"House Use                                      "|1|6|"2025-05-31"|"Sites BAQ"|"House Use                                      "|"Habitaciones habilitadas"|"Habitaciones totales"
"Bloqueadas Por Mantenimiento                   "|10|8|"2025-05-31"|"Sites BAQ"|"Habitaciones bloqueadas"|"Habitaciones bloqueadas"|"Habitaciones totales"
"Desocupadas                                    "|28|11|"2025-05-31"|"Sites BAQ"|"Desocupadas                                    "|"Habitaciones habilitadas"|"Habitaciones totales"
"AGY MAY Venta con Agencias Mayoristas          "|1|3|"2025-06-01"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"CO CO Cliente corporativos                     "|2|3|"2025-06-01"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"DIR DIR Ventas Directas                        "|1|3|"2025-06-01"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"DIR WHT Venta Directa en Whatsapp              "|2|3|"2025-06-01"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"OTA OTA Reservas con Otas, Bookign Expedia Desp"|10|3|"2025-06-01"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"WEB WEB Ventas Directas con la pagina WEB      "|2|3|"2025-06-01"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"House Use                                      "|1|6|"2025-06-01"|"Sites BAQ"|"House Use                                      "|"Habitaciones habilitadas"|"Habitaciones totales"
"Bloqueadas Por Mantenimiento                   "|12|8|"2025-06-01"|"Sites BAQ"|"Habitaciones bloqueadas"|"Habitaciones bloqueadas"|"Habitaciones totales"
"Desocupadas                                    "|35|11|"2025-06-01"|"Sites BAQ"|"Desocupadas                                    "|"Habitaciones habilitadas"|"Habitaciones totales"
"AGY MAY Venta con Agencias Mayoristas          "|1|3|"2025-06-02"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"CO CO Cliente corporativos                     "|1|3|"2025-06-02"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"DIR WHT Venta Directa en Whatsapp              "|3|3|"2025-06-02"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"OTA OTA Reservas con Otas, Bookign Expedia Desp"|3|3|"2025-06-02"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"WEB WEB Ventas Directas con la pagina WEB      "|2|3|"2025-06-02"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"Bloqueadas Por Mantenimiento                   "|12|8|"2025-06-02"|"Sites BAQ"|"Habitaciones bloqueadas"|"Habitaciones bloqueadas"|"Habitaciones totales"
"Desocupadas                                    "|44|11|"2025-06-02"|"Sites BAQ"|"Desocupadas                                    "|"Habitaciones habilitadas"|"Habitaciones totales"
"AGY MAY Venta con Agencias Mayoristas          "|1|3|"2025-06-03"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"CO CO Cliente corporativos                     "|6|3|"2025-06-03"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"DIR WHT Venta Directa en Whatsapp              "|2|3|"2025-06-03"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"OTA OTA Reservas con Otas, Bookign Expedia Desp"|7|3|"2025-06-03"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"WEB WEB Ventas Directas con la pagina WEB      "|4|3|"2025-06-03"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"Bloqueadas Por Mantenimiento                   "|12|8|"2025-06-03"|"Sites BAQ"|"Habitaciones bloqueadas"|"Habitaciones bloqueadas"|"Habitaciones totales"
"Desocupadas                                    "|34|11|"2025-06-03"|"Sites BAQ"|"Desocupadas                                    "|"Habitaciones habilitadas"|"Habitaciones totales"
"AGY AGY VENTAS CON AGENCIAS DE VIAJES          "|1|3|"2025-06-04"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"AGY MAY Venta con Agencias Mayoristas          "|2|3|"2025-06-04"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"AGY MIN Venta de Agencias Miinoristas          "|1|3|"2025-06-04"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"CO CO Cliente corporativos                     "|13|3|"2025-06-04"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"DIR DIR Ventas Directas                        "|1|3|"2025-06-04"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"DIR WHT Venta Directa en Whatsapp              "|1|3|"2025-06-04"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"OTA OTA Reservas con Otas, Bookign Expedia Desp"|14|3|"2025-06-04"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"Bloqueadas Por Mantenimiento                   "|9|8|"2025-06-04"|"Sites BAQ"|"Habitaciones bloqueadas"|"Habitaciones bloqueadas"|"Habitaciones totales"
"Desocupadas                                    "|24|11|"2025-06-04"|"Sites BAQ"|"Desocupadas                                    "|"Habitaciones habilitadas"|"Habitaciones totales"
"AGY AGY VENTAS CON AGENCIAS DE VIAJES          "|1|3|"2025-06-05"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"AGY MAY Venta con Agencias Mayoristas          "|3|3|"2025-06-05"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"AGY MIN Venta de Agencias Miinoristas          "|1|3|"2025-06-05"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"CO CO Cliente corporativos                     "|27|3|"2025-06-05"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"COM COM Complementary                          "|2|3|"2025-06-05"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"DIR DIR Ventas Directas                        "|1|3|"2025-06-05"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"DIR WHT Venta Directa en Whatsapp              "|2|3|"2025-06-05"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"OTA OTA Reservas con Otas, Bookign Expedia Desp"|14|3|"2025-06-05"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"WEB WEB Ventas Directas con la pagina WEB      "|1|3|"2025-06-05"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"Complimentary                                  "|3|7|"2025-06-05"|"Sites BAQ"|"Complimentary                                  "|"Habitaciones habilitadas"|"Habitaciones totales"
"Bloqueadas Por Mantenimiento                   "|1|8|"2025-06-05"|"Sites BAQ"|"Habitaciones bloqueadas"|"Habitaciones bloqueadas"|"Habitaciones totales"
"Desocupadas                                    "|10|11|"2025-06-05"|"Sites BAQ"|"Desocupadas                                    "|"Habitaciones habilitadas"|"Habitaciones totales"
"AGY MAY Venta con Agencias Mayoristas          "|1|3|"2025-06-06"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"CO CO Cliente corporativos                     "|47|3|"2025-06-06"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"COM COM Complementary                          "|2|3|"2025-06-06"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"DIR WHT Venta Directa en Whatsapp              "|1|3|"2025-06-06"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"OTA OTA Reservas con Otas, Bookign Expedia Desp"|12|3|"2025-06-06"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"WEB WEB Ventas Directas con la pagina WEB      "|2|3|"2025-06-06"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"Bloqueadas Por Mantenimiento                   "|1|8|"2025-06-06"|"Sites BAQ"|"Habitaciones bloqueadas"|"Habitaciones bloqueadas"|"Habitaciones totales"
"AGY MAY Venta con Agencias Mayoristas          "|1|3|"2025-06-07"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"CO CO Cliente corporativos                     "|1|3|"2025-06-07"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"COM COM Complementary                          "|3|3|"2025-06-07"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"DIR WHT Venta Directa en Whatsapp              "|3|3|"2025-06-07"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"OTA OTA Reservas con Otas, Bookign Expedia Desp"|19|3|"2025-06-07"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"WEB WEB Ventas Directas con la pagina WEB      "|18|3|"2025-06-07"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"Bloqueadas Por Mantenimiento                   "|1|8|"2025-06-07"|"Sites BAQ"|"Habitaciones bloqueadas"|"Habitaciones bloqueadas"|"Habitaciones totales"
"Desocupadas                                    "|20|11|"2025-06-07"|"Sites BAQ"|"Desocupadas                                    "|"Habitaciones habilitadas"|"Habitaciones totales"
"CO CO Cliente corporativos                     "|2|3|"2025-06-08"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"COM COM Complementary                          "|1|3|"2025-06-08"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"DIR DIR Ventas Directas                        "|3|3|"2025-06-08"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"OTA OTA Reservas con Otas, Bookign Expedia Desp"|7|3|"2025-06-08"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"WEB WEB Ventas Directas con la pagina WEB      "|7|3|"2025-06-08"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"Bloqueadas Por Mantenimiento                   "|1|8|"2025-06-08"|"Sites BAQ"|"Habitaciones bloqueadas"|"Habitaciones bloqueadas"|"Habitaciones totales"
"Desocupadas                                    "|45|11|"2025-06-08"|"Sites BAQ"|"Desocupadas                                    "|"Habitaciones habilitadas"|"Habitaciones totales"
"CO CO Cliente corporativos                     "|7|3|"2025-06-09"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"DIR DIR Ventas Directas                        "|3|3|"2025-06-09"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"DIR WHT Venta Directa en Whatsapp              "|1|3|"2025-06-09"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"OTA OTA Reservas con Otas, Bookign Expedia Desp"|9|3|"2025-06-09"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"WEB WEB Ventas Directas con la pagina WEB      "|4|3|"2025-06-09"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"Bloqueadas Por Mantenimiento                   "|1|8|"2025-06-09"|"Sites BAQ"|"Habitaciones bloqueadas"|"Habitaciones bloqueadas"|"Habitaciones totales"
"Desocupadas                                    "|41|11|"2025-06-09"|"Sites BAQ"|"Desocupadas                                    "|"Habitaciones habilitadas"|"Habitaciones totales"
"AGY MAY Venta con Agencias Mayoristas          "|1|3|"2025-06-10"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"CO CO Cliente corporativos                     "|20|3|"2025-06-10"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"COM COM Complementary                          "|3|3|"2025-06-10"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"DIR WHT Venta Directa en Whatsapp              "|1|3|"2025-06-10"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"OTA OTA Reservas con Otas, Bookign Expedia Desp"|7|3|"2025-06-10"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"WEB WEB Ventas Directas con la pagina WEB      "|4|3|"2025-06-10"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"Bloqueadas Por Mantenimiento                   "|5|8|"2025-06-10"|"Sites BAQ"|"Habitaciones bloqueadas"|"Habitaciones bloqueadas"|"Habitaciones totales"
"Desocupadas                                    "|25|11|"2025-06-10"|"Sites BAQ"|"Desocupadas                                    "|"Habitaciones habilitadas"|"Habitaciones totales"
"CO CO Cliente corporativos                     "|16|3|"2025-06-11"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"COM COM Complementary                          "|3|3|"2025-06-11"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"DIR DIR Ventas Directas                        "|4|3|"2025-06-11"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"OTA OTA Reservas con Otas, Bookign Expedia Desp"|7|3|"2025-06-11"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"WEB WEB Ventas Directas con la pagina WEB      "|4|3|"2025-06-11"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"Bloqueadas Por Mantenimiento                   "|6|8|"2025-06-11"|"Sites BAQ"|"Habitaciones bloqueadas"|"Habitaciones bloqueadas"|"Habitaciones totales"
"Desocupadas                                    "|26|11|"2025-06-11"|"Sites BAQ"|"Desocupadas                                    "|"Habitaciones habilitadas"|"Habitaciones totales"
"CO CO Cliente corporativos                     "|2|3|"2025-06-12"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"COM COM Complementary                          "|2|3|"2025-06-12"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"DIR DIR Ventas Directas                        "|2|3|"2025-06-12"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"OTA OTA Reservas con Otas, Bookign Expedia Desp"|5|3|"2025-06-12"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"WEB WEB Ventas Directas con la pagina WEB      "|3|3|"2025-06-12"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
"Bloqueadas Por Mantenimiento                   "|5|8|"2025-06-12"|"Sites BAQ"|"Habitaciones bloqueadas"|"Habitaciones bloqueadas"|"Habitaciones totales"
"Desocupadas                                    "|47|11|"2025-06-12"|"Sites BAQ"|"Desocupadas                                    "|"Habitaciones habilitadas"|"Habitaciones totales"
"CO CO Cliente corporativos                     "|8|3|"2025-06-13"|"Sites BAQ"|"Habitaciones ocupadas"|"Habitaciones habilitadas"|"Habitaciones totales"
